Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
regnet-regnetX_FPN;30.0;20.0;10.0;car;0.5;0.7009041224029755;0.7750005526062588
regnet-regnetX_FPN;30.0;20.0;10.0;car;1.0;0.8232151604547453;0.8769736759189561
regnet-regnetX_FPN;30.0;20.0;10.0;car;2.0;0.8510441773941825;0.898804224686972
regnet-regnetX_FPN;30.0;20.0;10.0;car;4.0;0.8669954356972513;0.9100697823303212
regnet-regnetX_FPN;30.0;20.0;10.0;truck;0.5;0.2396241959258286;0.2916496749570481
regnet-regnetX_FPN;30.0;20.0;10.0;truck;1.0;0.4405943521053402;0.4966573667839311
regnet-regnetX_FPN;30.0;20.0;10.0;truck;2.0;0.5518397942462654;0.6088372467155445
regnet-regnetX_FPN;30.0;20.0;10.0;truck;4.0;0.6031007244549175;0.6632209679248416
regnet-regnetX_FPN;30.0;20.0;10.0;bus;0.5;0.1742220844586778;0.2469106222868104
regnet-regnetX_FPN;30.0;20.0;10.0;bus;1.0;0.5537224010560102;0.6487215727570238
regnet-regnetX_FPN;30.0;20.0;10.0;bus;2.0;0.7173231905301807;0.7967383374555227
regnet-regnetX_FPN;30.0;20.0;10.0;bus;4.0;0.7466024870609486;0.8246293676907025
regnet-regnetX_FPN;30.0;20.0;10.0;trailer;0.5;0.013489289696473606;0.02906971029869303
regnet-regnetX_FPN;30.0;20.0;10.0;trailer;1.0;0.13923438753218773;0.2100383397139585
regnet-regnetX_FPN;30.0;20.0;10.0;trailer;2.0;0.3381168554882295;0.45857781038444156
regnet-regnetX_FPN;30.0;20.0;10.0;trailer;4.0;0.461445979572902;0.5388598231094864
regnet-regnetX_FPN;30.0;20.0;10.0;construction_vehicle;0.5;0.0010575204595230745;0.0022367360864861603
regnet-regnetX_FPN;30.0;20.0;10.0;construction_vehicle;1.0;0.09215195327901325;0.12799111467179788
regnet-regnetX_FPN;30.0;20.0;10.0;construction_vehicle;2.0;0.20256299835182884;0.2556387450521034
regnet-regnetX_FPN;30.0;20.0;10.0;construction_vehicle;4.0;0.26289930623937824;0.3223017519629856
regnet-regnetX_FPN;30.0;20.0;10.0;pedestrian;0.5;0.7485530201728439;0.7652646345418624
