Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7191358024691358;0.7743899101547453
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;1.0000000000000004;0.9999831002431391
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9917695473251031;0.9659432807172253
ssn-REGNET;pedestrian;2.0;0.39274634830190386;0.189792129277954
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.4444444444444445;0.43227733464494145
ssn-REGNET;barrier;2.0;0.8162628702483776;0.8888888888888891
