Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.9938271604938275;0.9869642034354207
ssn-REGNET;truck;2.0;0.16666666666666666;0.22220692998133668
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.8111111111111113;0.7888888888888891
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.31069958847736623;0.30950737116656213
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.774962962962963;0.42547873780771633
