Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5506172839506173;0.5999279683621607
ssn-REGNET;truck;2.0;0.43621399176954734;0.32902348346874555
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.43827160493827155;0.48708519290006125
ssn-REGNET;pedestrian;2.0;0.4372427983539095;0.37777777777777777
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.25479326481947223
ssn-REGNET;barrier;2.0;0.7555555555555558;0.8091176618440191
