Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6663580246913581;0.3616008587014397
ssn-REGNET;truck;2.0;0.7376543209876544;0.7052934805975201
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9839483766362936
ssn-REGNET;pedestrian;2.0;0.0;0.0
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;traffic_cone;2.0;0.5046057214390548;0.4705852976222685
ssn-REGNET;barrier;2.0;0.007671957671957666;0.0002146705937854414
