Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5889396611618835;0.6291302421948942
ssn-REGNET;truck;2.0;0.7376543209876544;0.9777613208985793
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9938271604938275;0.9867956427172544
ssn-REGNET;pedestrian;2.0;0.0;0.0
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.9938271604938275;0.9925374373296659
ssn-REGNET;traffic_cone;2.0;0.3037154786218254;0.34005544374137525
ssn-REGNET;barrier;2.0;0.0;0.0003496561870779061
