Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.851399111848574;0.8754641746678319
ssn-REGNET;truck;2.0;0.2899764844209289;0.20722250479776488
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.576275720164609;0.7084022227541846
ssn-REGNET;motorcycle;2.0;0.990740740740741;0.9888888888888892
ssn-REGNET;bicycle;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
