Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6222222222222222;0.27178603349560143
ssn-REGNET;truck;2.0;0.9938271604938275;0.977777777777778
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.9938271604938275;0.977777777777778
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.8333333333333335;0.665517004915042
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8555555555555556;0.8037586110351397
