Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8333333333333335;0.7888820150784142
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;1.0000000000000004;0.7555555555555558
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.8387345679012346;0.809471738577247
ssn-REGNET;motorcycle;2.0;1.0000000000000004;0.9497202874993529
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.3;0.32222222222222224
ssn-REGNET;barrier;2.0;0.5884240553684998;0.7573034715241627
