Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6704615499421142;0.7140458620087691
ssn-REGNET;truck;2.0;0.09814814814814815;0.11156801373913929
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.8054363272638126;0.8487773157618032
ssn-REGNET;motorcycle;2.0;0.9930555555555558;0.9888888888888892
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.4444444444444445;0.43333333333333335
ssn-REGNET;barrier;2.0;0.0;0.0
