Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6222222222222222;0.9888888888888892
ssn-REGNET;truck;2.0;0.437037037037037;0.5222222222222223
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.9977199868172788
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.2553586634530249
ssn-REGNET;barrier;2.0;0.56751422343089;0.7769227773381125
