Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.4444444444444445;0.44011010543977225
ssn-REGNET;truck;2.0;0.9917695473251031;0.9862510192113764
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9333333333333337
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9710766856600193;0.98603666243295
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8876543209876544;0.8518017584010834
