Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7999171207788304;0.8397726120462028
ssn-REGNET;truck;2.0;0.7391769547325103;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.9938271604938275;0.9666666666666668
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9917695473251031;0.9888888888888892
ssn-REGNET;motorcycle;2.0;0.4444444444444445;0.4444444444444445
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.07742798353909465;0.053701561263235505
ssn-REGNET;barrier;2.0;0.6935879985825519;0.7043998159708496
