Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7720164609053499;0.5887777918469989
ssn-REGNET;truck;2.0;0.9901234567901236;0.9901418925815523
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.4345679012345679;0.9105714662749369
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9999671971307776
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.044444444444444446
ssn-REGNET;barrier;2.0;0.8333333333333335;0.8934325544612995
