Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6987172251616696;0.7989791123016701
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;1.0000000000000004;0.9222222222222224
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.5596119929453263;0.5321879031229297
ssn-REGNET;motorcycle;2.0;1.0000000000000004;0.6345711564650751
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.004876543209876544;0.005928429616185623
ssn-REGNET;barrier;2.0;0.709406737053796;0.8556287873635798
