Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8666666666666668;0.6628649783640622
ssn-REGNET;truck;2.0;0.4345679012345679;0.3063532926897336
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.43621399176954734;0.8406920700520655
ssn-REGNET;pedestrian;2.0;0.36887948265726045;0.33938481783752855
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.10123456790123456;0.061320438727079936
ssn-REGNET;traffic_cone;2.0;0.5170123456790123;0.5267717481405345
ssn-REGNET;barrier;2.0;0.7984110621888401;0.8168332926036508
