Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5482469135802469;0.5627688816885006
ssn-REGNET;truck;2.0;1.0000000000000004;0.9826309956216245
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9992295819983532
ssn-REGNET;pedestrian;2.0;0.7343621399176955;0.889288128854232
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.4925723124007438;0.6242564772861773
ssn-REGNET;barrier;2.0;0.016049382716049377;0.0006346269551425832
