Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7444444444444446;0.7777777777777779
ssn-REGNET;truck;2.0;0.9901234567901236;0.9111111111111113
ssn-REGNET;bus;2.0;0.9917695473251031;0.9222222222222224
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.44032921810699593;0.7057244853950297
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.9938271604938275;0.9318150207315273
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
