Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5131216931216931;0.487366091728976
ssn-REGNET;truck;2.0;0.6246325690770136;0.5998638249957277
ssn-REGNET;bus;2.0;0.19999999999999998;0.2633453510400187
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.45246913580246917;0.4924148714419077
ssn-REGNET;pedestrian;2.0;0.7015835707502374;0.7174456460109128
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.28724388894752173
ssn-REGNET;barrier;2.0;0.0;0.0
