Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.809430335097002;0.8592729229930572
ssn-REGNET;truck;2.0;0.6222222222222222;0.9689634420869793
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.9938271604938275;0.9333333333333337
ssn-REGNET;construction_vehicle;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.8333333333333335;nan
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.3111110713924291
ssn-REGNET;barrier;2.0;0.7165246423672349;0.7667146862857553
