Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.996913580246914;0.9966835974183559
ssn-REGNET;truck;2.0;0.9938271604938275;0.977777777777778
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.977777777777778
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.8777469135802468;0.9888888888888892
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8897661260606591;0.8847147239165244
