Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.2555555555555556;0.4280324317141152
ssn-REGNET;truck;2.0;0.9938271604938275;0.9896049110909686
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.9938271604938275;0.9833260893263801
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9972565157750346;0.9872917188799036
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.9938271604938275;0.7858505975886396
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8876543209876544;0.9240228394178506
