Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8220899470899471;0.7738858551693797
ssn-REGNET;truck;2.0;0.996913580246914;0.9997744027540515
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9915590283408178
ssn-REGNET;pedestrian;2.0;0.8355967078189299;0.8406989951537447
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.2555555555555556;0.322125559000746
ssn-REGNET;traffic_cone;2.0;0.6158584250202184;0.6248061638867966
ssn-REGNET;barrier;2.0;0.0;0.0
