Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8333333333333335;0.43135822303851723
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9938271604938275;0.8557917189233267
ssn-REGNET;pedestrian;2.0;0.28926875593542256;0.31686562142690555
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.9938271604938275;0.9938203840424967
ssn-REGNET;traffic_cone;2.0;0.8682734777994033;0.8707112244740729
ssn-REGNET;barrier;2.0;0.5922596021767561;0.7263183075351929
