Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7499401421623644;0.7879710826470704
ssn-REGNET;truck;2.0;0.8206447187928668;0.7205998188048511
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.41797217323143254;0.34486890900239664
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.10226337448559668;0.10042396921200734
ssn-REGNET;barrier;2.0;0.5482469135802469;0.5362293063999886
