Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.06530864197530865;nan
ssn-REGNET;truck;2.0;0.9938271604938275;0.9107185395839303
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.8879079633178565
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.993616737987445
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.8610962929445787
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.7617455418381346;0.6736923629808621
