Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8111111111111113;0.7770616710796612
ssn-REGNET;truck;2.0;1.0000000000000004;0.9926469552139634
ssn-REGNET;bus;2.0;1.0000000000000004;0.9669306208238119
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9359580675361338;0.9223316173235734
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.6222222222222222;0.6111111111111112
ssn-REGNET;barrier;2.0;0.9022468645894572;0.8947500373076633
