Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.4805555555555556;0.9895690346130671
ssn-REGNET;truck;2.0;0.8758950617283949;0.9954121476122134
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.5279482657260436;0.6057741009486033
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.05555555555555556;0.05555555555555556
ssn-REGNET;barrier;2.0;0.0045267489711934145;0.0
