Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7191358024691358;0.7183795033142397
ssn-REGNET;truck;2.0;0.9938271604938275;0.9915434495722556
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9555555555555557
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9652914328469886;0.8763637636800268
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.9938271604938275;0.977777777777778
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8876543209876544;0.7793753671323037
