Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5957780169396277;0.6080208557988778
ssn-REGNET;truck;2.0;0.5127865961199294;0.0495073309534693
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.6084722222222224;0.5958090812582159
ssn-REGNET;motorcycle;2.0;0.9925925925925928;0.9888888888888892
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.15833333333333333;0.11053084502880949
ssn-REGNET;barrier;2.0;0.0;0.0
