Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.22877229080932784;0.384150492055611
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.7376543209876544;0.8157394980109102
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9917695473251031;0.9928428500486665
ssn-REGNET;motorcycle;2.0;0.19999999999999998;0.19590304063629255
ssn-REGNET;bicycle;2.0;0.9958847736625516;0.9888284111190416
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
