Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7029734380845492;0.7799521163155836
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;1.0000000000000004;0.9666666666666668
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.8732051840679292;0.8738647097319097
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.20914609053497943;0.19544778872725346
ssn-REGNET;barrier;2.0;0.5564008001452102;0.5616213337330525
