Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.73559670781893;0.930483605492401
ssn-REGNET;truck;2.0;0.43827160493827155;0.8683688167198285
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.8811287477954144;0.6910766387265475
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.3111111111111111;0.3111111111111111
ssn-REGNET;barrier;2.0;0.8121260536164646;0.8390185351991113
