Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7120308189752634;0.729303213645242
ssn-REGNET;truck;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.6286008230452675;0.6096184203715904
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.35555555555555557;0.4888888888888889
ssn-REGNET;barrier;2.0;0.9925925925925928;0.838404748577212
