Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.0;0.0
ssn-REGNET;truck;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.7283380898936455;0.7341086301901136
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.10123456790123456;0.1377755673826164
ssn-REGNET;barrier;2.0;0.8013373863349896;0.78030423908114
