Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7204585537918872;0.6222222222222222
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.9958847736625516;0.977777777777778
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9555555555555557
ssn-REGNET;pedestrian;2.0;0.0;0.0
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.2111111111111111
ssn-REGNET;barrier;2.0;0.8333333333333335;0.8543608213712867
