Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8111111111111113;nan
ssn-REGNET;truck;2.0;0.9958847736625516;0.996414557975523
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.996913580246914;0.9888888888888892
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;traffic_cone;2.0;0.35555555555555557;0.35549706083888455
ssn-REGNET;barrier;2.0;0.7752521381234307;0.8044636536548616
