Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5240583613916947;0.649174957843275
ssn-REGNET;truck;2.0;0.7160493827160495;0.9852567742268947
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.9901234567901236;0.7444444444444446
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.4338624338624338;0.38888888888888884
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.6131687242798354;0.5683767588998531
