Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.3762839506172839;0.34502871695590975
ssn-REGNET;truck;2.0;0.6306584362139919;0.7707257855344951
ssn-REGNET;bus;2.0;0.9958847736625516;0.9738164430055261
ssn-REGNET;trailer;2.0;1.0000000000000004;0.742427070037993
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.9987654320987656;0.977777777777778
