Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7659004205670873;0.7527875189869837
ssn-REGNET;truck;2.0;0.9917695473251031;0.9888888888888892
ssn-REGNET;bus;2.0;1.0000000000000004;0.99940935318267
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;1.0000000000000004;0.9884186596800141
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.9713251254917924;0.9690786273128376
