Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7267857142857143;0.7711770971209956
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.615559670781893;0.626494321986324
ssn-REGNET;motorcycle;2.0;1.0000000000000004;0.9341767938912071
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.07119341563786008;0.0863817687759923
ssn-REGNET;barrier;2.0;0.8048922895368974;0.8906854824728863
