Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6295252195090517;0.5728056689610255
ssn-REGNET;truck;2.0;0.9958847736625516;0.9751333445501791
ssn-REGNET;bus;2.0;1.0000000000000004;0.971198696787225
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9791336018133404;0.9806165068871775
ssn-REGNET;motorcycle;2.0;0.5777777777777778;0.5777701936946963
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
