Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.6696005424616536;0.7634784277222115
ssn-REGNET;truck;2.0;0.5123456790123457;0.36950804883100286
ssn-REGNET;bus;2.0;0.9938271604938275;0.9666666666666668
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9901234567901236;0.9878153275646231
ssn-REGNET;pedestrian;2.0;0.9975308641975311;0.7791831869342591
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8706481481481482;0.8707703925496046
