Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.16810699588477365;0.3297095993629701
ssn-REGNET;truck;2.0;0.4444444444444445;0.423431286129805
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.0;0.0
ssn-REGNET;motorcycle;2.0;1.0000000000000004;0.8996875360889875
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;barrier;2.0;1.0000000000000004;0.8981615875447109
