Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8666666666666668;0.8425207953517437
ssn-REGNET;truck;2.0;0.43415637860082307;0.3980566283344858
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.7376543209876544;0.7255479509737418
ssn-REGNET;pedestrian;2.0;0.5007221242406428;0.21196041122979203
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.941481607974642;0.9428899405418696
