Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.38888888888888884;0.8333333333333335
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9917695473251031;0.977777777777778
ssn-REGNET;pedestrian;2.0;0.8340493827160494;0.8334907515311638
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.05555555555555556;0.011111085432983558
ssn-REGNET;barrier;2.0;0.9148157860360595;0.9450355643008083
