Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.536849123441716;0.5490238553149065
ssn-REGNET;truck;2.0;0.44032921810699593;0.9862270393094476
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.7462181069958849;0.7669805204965059
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.2555555555555556;0.17777777777777778
ssn-REGNET;barrier;2.0;0.6574074074074076;0.9151885998627773
