Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7590020576131687;0.8505246561890625
ssn-REGNET;truck;2.0;0.717283950617284;0.6666666666666667
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.7570096275845838;0.8331293625064997
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.1281275720164609;0.1455434190514127
ssn-REGNET;barrier;2.0;0.9566230999695053;0.9490675355799474
