Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8602693602693603;0.8368496908654071
ssn-REGNET;truck;2.0;0.4753086419753086;0.9437412910794201
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9950617283950619;0.9888888888888892
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.4444444444444445;0.4213396245660513
ssn-REGNET;barrier;2.0;0.603565706597458;0.5822780640280548
