Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7322966337301849;0.7157917129915533
ssn-REGNET;truck;2.0;0.990740740740741;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.7343621399176955;0.7330103866760546
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.3333333333333333;0.3662261753510549
ssn-REGNET;barrier;2.0;0.9987654320987656;0.9946089357640698
