Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7532545163146298;0.6322698442644215
ssn-REGNET;truck;2.0;0.2483539094650206;0.13698862802915812
ssn-REGNET;bus;2.0;0.9917695473251031;0.9939254009640778
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.996913580246914;0.5899260813767648
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.9938271604938275;0.9893793490526668
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
