Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.4053834019204389;0.4703849658624755
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.7238194232160878
ssn-REGNET;pedestrian;2.0;0.8000149138371409;0.7134900025077275
ssn-REGNET;motorcycle;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8879344143765369;0.8941757590870928
