Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.601172839506173;0.5554727497021478
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;1.0000000000000004;0.9989002752901524
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.22325102880658435;0.2885960356981555
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.4444444444444445;0.43333333333333335
ssn-REGNET;traffic_cone;2.0;0.43827160493827155;0.0
ssn-REGNET;barrier;2.0;0.649801409153261;0.6560514785897565
