Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8100864197530865;0.9938258405284075
ssn-REGNET;truck;2.0;1.0000000000000004;0.9999199983229372
ssn-REGNET;bus;2.0;1.0000000000000004;0.96529592905908
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.8222222222222223
ssn-REGNET;pedestrian;2.0;0.9962013295346632;0.98828679519598
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.5063139925917705;0.562942297408546
