Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7907435866602534;0.6768161632239558
ssn-REGNET;truck;2.0;0.9901234567901236;0.9888888888888892
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;1.0000000000000004;0.998448229318398
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9975308641975311;0.9700687547951852
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.8371076398385766;0.8382792440914855
