Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7051587301587302;0.6625202534985198
ssn-REGNET;truck;2.0;1.0000000000000004;0.9893229147119538
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.8111111111111113
ssn-REGNET;pedestrian;2.0;0.44820693709582593;0.35566654696134814
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.2555555555555556;0.2569267378675889
ssn-REGNET;traffic_cone;2.0;0.5379365747219778;0.6118626286929746
ssn-REGNET;barrier;2.0;0.016049382716049377;0.005628498492402203
