Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.43364197530864196;0.4332317574351698
ssn-REGNET;truck;2.0;1.0000000000000004;0.9967770754140262
ssn-REGNET;bus;2.0;0.9938271604938275;0.7111111111111112
ssn-REGNET;trailer;2.0;0.43827160493827155;0.5888888888888889
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9399647266313933;0.8863696354566187
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.022222222222222223;0.16655535604638372
ssn-REGNET;barrier;2.0;0.3834197530864198;0.3589581329556944
