Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7727901234567902;0.6648919611935579
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.9917695473251031;0.9888888888888892
ssn-REGNET;pedestrian;2.0;0.897971573814711;0.8951588096132467
ssn-REGNET;motorcycle;2.0;0.9938271604938275;0.9888888888888892
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.05555555555555556;0.05555555555555556
ssn-REGNET;barrier;2.0;0.755924911476379;0.7574907806635843
