Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.8175720164609053;0.9528584976794361
ssn-REGNET;truck;2.0;0.1962962962962963;0.44736211044986557
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9911816578483248;0.9862065875763135
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.331820987654321;0.3721761013642066
ssn-REGNET;barrier;2.0;0.7158213111930433;0.6326813767462071
