Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7771234567901236;0.9404388886191712
ssn-REGNET;truck;2.0;0.43621399176954734;0.40803015031834194
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.5583052749719416;0.06546890467638737
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.16049382716049382;0.16649837610678894
ssn-REGNET;barrier;2.0;0.6040428158745152;0.6575994126265449
