Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7480265619154508;0.6666666666666667
ssn-REGNET;truck;2.0;0.8746604938271605;0.9779324118080862
ssn-REGNET;bus;2.0;0.9917695473251031;0.988421021030192
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.1962962962962963;0.19709766757474376
ssn-REGNET;pedestrian;2.0;0.5447971781305115;0.6102045565739002
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
