Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.5602243421873052;0.530317015340405
ssn-REGNET;truck;2.0;0.19999999999999998;0.07923786633426563
ssn-REGNET;bus;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.9958847736625516;0.798616217188987
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;1.0000000000000004;0.9222065647574154
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
