Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7870061728395062;0.7624302155750704
ssn-REGNET;truck;2.0;0.9938271604938275;0.9880873741197345
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.39855967078189297;0.0753611305600866
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.4444444444444445;0.4444444444444445
ssn-REGNET;barrier;2.0;0.6500527079230783;0.6605232940879652
