Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.7700668159001492;0.8312630994771985
ssn-REGNET;truck;2.0;0.9938271604938275;0.9111111111111113
ssn-REGNET;bus;2.0;1.0000000000000004;0.9888888888888892
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;0.0;0.0
ssn-REGNET;pedestrian;2.0;0.6222222222222222;0.9661965165962619
ssn-REGNET;motorcycle;2.0;0.0;0.0
ssn-REGNET;bicycle;2.0;0.19794238683127574;0.04060552715262636
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.0;0.0
